,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,avg_duration
1144,2019-20,Directorate of Forensic Science Assam,Financial Bid Opening,Goods,120.0
1145,2019-20,Directorate of Forensic Science Assam,Technical Evaluation,Goods,150.0
1146,2019-20,Directorate of Forensic Science Assam,To be Opened,Goods,120.0
1147,2019-20,Directorate of Horticulture Assam,Evaluation,Works,730.0
1148,2019-20,Directorate of Horticulture Assam,Financial Evaluation,Goods,365.0
1149,2019-20,Directorate of Horticulture Assam,Financial Evaluation,Services,90.0
1150,2019-20,Directorate of Horticulture Assam,Technical Bid Opening,Services,135.0
1151,2019-20,Directorate of Land Records and Survey etc. Assam,AOC,Goods,180.0
1152,2019-20,Directorate of Land Records and Survey etc. Assam,AOC,Services,180.0
1153,2019-20,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,58.5
1154,2019-20,Directorate of Sports and Youth Welfare - Assam,AOC,Services,65.0
1155,2019-20,Directorate of Sports and Youth Welfare - Assam,Financial Evaluation,Services,90.0
1156,2019-20,Directorate of Sports and Youth Welfare - Assam,Technical Bid Opening,Goods,60.0
1157,2019-20,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Goods,60.0
1158,2019-20,Directorate of Sports and Youth Welfare - Assam,To be Opened,Goods,60.0
1159,2019-20,Directorate of Sports and Youth Welfare - Assam,To be Opened,Services,66.0
1160,2019-20,Elementary Education Department,AOC,Goods,210.0
1161,2019-20,Elementary Education Department,Technical Bid Opening,Services,180.0
1162,2019-20,Finance Department - World Bank Tenders,AOC,Goods,90.0
1163,2019-20,Finance Department - World Bank Tenders,AOC,Services,116.25
1164,2019-20,Finance Department - World Bank Tenders,Bid Opening,Services,105.0
1165,2019-20,Finance Department - World Bank Tenders,Evaluation,Services,90.0
1166,2019-20,Finance Department - World Bank Tenders,To be Opened,Services,150.0
1167,2019-20,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,365.0
1168,2019-20,Food Civil Supplies and Consumer Affairs Department,AOC,Services,365.0
1169,2019-20,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,365.0
1170,2019-20,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Goods,365.0
1171,2019-20,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Services,21.0
1172,2019-20,Food Civil Supplies and Consumer Affairs Department,To be Opened,Goods,365.0
1173,2019-20,Gauhati High Court - Guwahati,AOC,Goods,180.0
1174,2019-20,Gauhati High Court - Guwahati,To be Opened,Goods,180.0
1175,2019-20,Gauhati University,AOC,Works,180.0
1176,2019-20,Gauhati University,Financial Bid Opening,Works,180.0
1177,2019-20,Gauhati University,Technical Bid Opening,Works,180.0
1178,2019-20,Gauhati University,Technical Evaluation,Works,180.0
1179,2019-20,Gauhati University,To be Opened,Works,180.0
1180,2019-20,Guwahati Metropolitan Development Authority,Financial Evaluation,Services,150.0
1181,2019-20,Guwahati Metropolitan Development Authority,Technical Bid Opening,Services,180.0
1182,2019-20,Guwahati Metropolitan Development Authority,Technical Bid Opening,Works,120.0
1183,2019-20,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,120.0
1184,2019-20,Guwahati Metropolitan Development Authority,To be Opened,Services,174.0
1185,2019-20,Guwahati Metropolitan Development Authority,To be Opened,Works,120.0
1186,2019-20,Guwahati Municipal Corporation,AOC,Works,90.0
1187,2019-20,Guwahati Municipal Corporation,Financial Bid Opening,Goods,90.0
1188,2019-20,Guwahati Municipal Corporation,Financial Evaluation,Works,90.0
1189,2019-20,Guwahati Municipal Corporation,Technical Bid Opening,Goods,90.0
1190,2019-20,Guwahati Municipal Corporation,Technical Bid Opening,Works,90.0
1191,2019-20,Guwahati Municipal Corporation,To be Opened,Goods,90.0
1192,2019-20,Guwahati Municipal Corporation,To be Opened,Works,128.57142857142858
1193,2019-20,Guwahati Smart City Ltd.,Bid Opening,Works,180.0
1194,2019-20,Guwahati Smart City Ltd.,To be Opened,Works,180.0
1195,2019-20,Health and Family Welfare Department,AOC,Goods,357.22222222222223
1196,2019-20,Health and Family Welfare Department,AOC,Services,341.5
1197,2019-20,Health and Family Welfare Department,AOC,Works,90.0
1198,2019-20,Health and Family Welfare Department,Financial Bid Opening,Goods,365.0
1199,2019-20,Health and Family Welfare Department,Financial Bid Opening,Services,365.0
1200,2019-20,Health and Family Welfare Department,Financial Bid Opening,Works,365.0
1201,2019-20,Health and Family Welfare Department,Technical Bid Opening,Goods,325.7142857142857
1202,2019-20,Health and Family Welfare Department,Technical Evaluation,Goods,393.0769230769231
1203,2019-20,Health and Family Welfare Department,Technical Evaluation,Services,273.3333333333333
1204,2019-20,Health and Family Welfare Department,To be Opened,Goods,348.75
1205,2019-20,Health and Family Welfare Department,To be Opened,Services,334.1666666666667
1206,2019-20,Health and Family Welfare Department,To be Opened,Works,365.0
1207,2019-20,Higher Education (Technical) Department,AOC,Goods,90.0
1208,2019-20,Higher Education (Technical) Department,Financial Bid Opening,Goods,90.0
1209,2019-20,Higher Education (Technical) Department,Financial Evaluation,Goods,90.0
1210,2019-20,Higher Education (Technical) Department,To be Opened,Goods,90.0
1211,2019-20,Home B,AOC,Goods,306.3265306122449
1212,2019-20,Home B,Financial Bid Opening,Goods,258.4848484848485
1213,2019-20,Home B,Financial Evaluation,Goods,214.0
1214,2019-20,Home B,Technical Bid Opening,Goods,260.3333333333333
1215,2019-20,Home B,Technical Evaluation,Goods,120.55555555555556
1216,2019-20,Home B,To be Opened,Goods,222.93150684931507
1217,2019-20,Industries and Commerce Department,AOC,Goods,165.0
1218,2019-20,Industries and Commerce Department,AOC,Services,135.0
1219,2019-20,Industries and Commerce Department,AOC,Works,173.50574712643677
1220,2019-20,Industries and Commerce Department,Bid Opening,Services,60.0
1221,2019-20,Industries and Commerce Department,Bid Opening,Works,180.0
1222,2019-20,Industries and Commerce Department,Evaluation,Works,180.0
1223,2019-20,Industries and Commerce Department,Financial Bid Opening,Goods,365.0
1224,2019-20,Industries and Commerce Department,Financial Bid Opening,Services,180.0
1225,2019-20,Industries and Commerce Department,Financial Bid Opening,Works,180.0
1226,2019-20,Industries and Commerce Department,Financial Evaluation,Services,180.0
1227,2019-20,Industries and Commerce Department,Financial Evaluation,Works,318.25
1228,2019-20,Industries and Commerce Department,Technical Bid Opening,Goods,347.5
1229,2019-20,Industries and Commerce Department,Technical Bid Opening,Services,180.0
1230,2019-20,Industries and Commerce Department,Technical Bid Opening,Works,180.0
1231,2019-20,Industries and Commerce Department,Technical Evaluation,Goods,167.91666666666666
1232,2019-20,Industries and Commerce Department,Technical Evaluation,Services,158.57142857142858
1233,2019-20,Industries and Commerce Department,Technical Evaluation,Works,205.0
1234,2019-20,Industries and Commerce Department,To be Opened,Goods,133.47826086956522
1235,2019-20,Industries and Commerce Department,To be Opened,Services,104.11764705882354
1236,2019-20,Industries and Commerce Department,To be Opened,Works,159.6153846153846
1237,2019-20,Information and Public Relations Department,Financial Bid Opening,Services,90.0
1238,2019-20,Irrigation Department,AOC,Goods,125.0
1239,2019-20,Irrigation Department,AOC,Works,208.5211267605634
1240,2019-20,Irrigation Department,Financial Bid Opening,Services,180.0
1241,2019-20,Irrigation Department,Financial Bid Opening,Works,180.0
1242,2019-20,Irrigation Department,Technical Bid Opening,Works,180.0
1243,2019-20,Irrigation Department,Technical Evaluation,Works,180.0
1244,2019-20,Irrigation Department,To be Opened,Goods,125.0
1245,2019-20,Irrigation Department,To be Opened,Works,191.5625
1246,2019-20,Karbi Anglong Autonomous Council,AOC,Works,180.0
1247,2019-20,Karbi Anglong Autonomous Council,Financial Bid Opening,Works,180.0
1248,2019-20,Karbi Anglong Autonomous Council,Technical Bid Opening,Works,150.0
1249,2019-20,Karbi Anglong Autonomous Council,Technical Evaluation,Works,135.0
1250,2019-20,Karbi Anglong Autonomous Council,To be Opened,Works,162.0
1251,2019-20,Mines  and Minerals Department,Financial Evaluation,Goods,180.0
1252,2019-20,Mines  and Minerals Department,To be Opened,Goods,200.0
1253,2019-20,National Health Mission,AOC,Goods,109.77272727272727
1254,2019-20,National Health Mission,AOC,Works,217.5
1255,2019-20,National Health Mission,Bid Opening,Goods,90.0
1256,2019-20,National Health Mission,Evaluation,Goods,90.0
1257,2019-20,National Health Mission,Financial Bid Opening,Goods,93.0
1258,2019-20,National Health Mission,Financial Bid Opening,Works,202.5
1259,2019-20,National Health Mission,Financial Evaluation,Services,135.0
1260,2019-20,National Health Mission,Financial Evaluation,Works,180.0
1261,2019-20,National Health Mission,Technical Bid Opening,Works,202.5
1262,2019-20,National Health Mission,Technical Evaluation,Goods,150.0
1263,2019-20,National Health Mission,Technical Evaluation,Services,150.0
1264,2019-20,National Health Mission,Technical Evaluation,Works,216.0
1265,2019-20,National Health Mission,To be Opened,Goods,83.33333333333333
1266,2019-20,National Health Mission,To be Opened,Services,140.0
1267,2019-20,National Health Mission,To be Opened,Works,219.8684210526316
1268,2019-20,National Register of Citizens Assam,Technical Evaluation,Services,90.0
1269,2019-20,North Cachar Hills Autonomous Council,AOC,Services,120.0
1270,2019-20,Pollution Control Board,To be Opened,Works,180.0
1271,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Services,180.0
1272,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,365.0
1273,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Services,180.0
1274,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Services,365.0
1275,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,To be Opened,Services,180.0
1276,2019-20,Pr. Chief Conservator of Forest and Head of Forest Force,To be Opened,Works,180.0
1277,2019-20,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,180.0
1278,2019-20,Principal Secretary- P and RD- Assam Secretariat,Evaluation,Services,30.0
1279,2019-20,Principal Secretary- P and RD- Assam Secretariat,Financial Bid Opening,Goods,120.0
1280,2019-20,Principal Secretary- P and RD- Assam Secretariat,Financial Bid Opening,Works,180.0
1281,2019-20,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Goods,180.0
1282,2019-20,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,180.0
1283,2019-20,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,60.0
1284,2019-20,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Works,180.0
1285,2019-20,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Goods,112.5
1286,2019-20,Principal Secretary- P and RD- Assam Secretariat,Technical Evaluation,Works,181.25
1287,2019-20,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Goods,60.0
1288,2019-20,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Services,60.0
1289,2019-20,Principal Secretary- P and RD- Assam Secretariat,To be Opened,Works,180.0
1290,2019-20,Principal Secretary-Department of Information Technology,AOC,Goods,180.0
1291,2019-20,Principal Secretary-Department of Information Technology,AOC,Services,186.0
1292,2019-20,Principal Secretary-Department of Information Technology,AOC,Works,180.0
1293,2019-20,Principal Secretary-Department of Information Technology,Financial Evaluation,Goods,180.0
1294,2019-20,Principal Secretary-Department of Information Technology,Financial Evaluation,Services,180.0
1295,2019-20,Principal Secretary-Department of Information Technology,Technical Evaluation,Services,180.0
1296,2019-20,Principal Secretary-Department of Information Technology,To be Opened,Goods,241.66666666666666
1297,2019-20,Principal Secretary-Department of Information Technology,To be Opened,Services,190.0
1298,2019-20,Principal Secretary-Department of Information Technology,To be Opened,Works,180.0
1299,2019-20,Printing and Stationery Department,Financial Evaluation,Goods,30.0
1300,2019-20,Printing and Stationery Department,To be Opened,Goods,30.0
1301,2019-20,Public Health Engineering Department,AOC,Goods,90.0
1302,2019-20,Public Health Engineering Department,AOC,Services,90.0
1303,2019-20,Public Health Engineering Department,AOC,Works,90.50675675675676
1304,2019-20,Public Health Engineering Department,Technical Bid Opening,Works,195.0
1305,2019-20,Public Health Engineering Department,Technical Evaluation,Goods,90.0
1306,2019-20,Public Health Engineering Department,Technical Evaluation,Services,90.0
1307,2019-20,Public Health Engineering Department,Technical Evaluation,Works,90.0
1308,2019-20,Public Health Engineering Department,To be Opened,Goods,176.25
1309,2019-20,Public Health Engineering Department,To be Opened,Works,90.0
1310,2019-20,Public Works Building and NH Department,AOC,Works,178.3783783783784
1311,2019-20,Public Works Building and NH Department,Financial Bid Opening,Works,180.0
1312,2019-20,Public Works Building and NH Department,Financial Evaluation,Works,180.0
1313,2019-20,Public Works Building and NH Department,Technical Bid Opening,Works,180.0
1314,2019-20,Public Works Building and NH Department,Technical Evaluation,Works,180.0
1315,2019-20,Public Works Building and NH Department,To be Opened,Goods,180.0
1316,2019-20,Public Works Building and NH Department,To be Opened,Works,180.16129032258064
1317,2019-20,Public Works Roads Department,AOC,Goods,90.0
1318,2019-20,Public Works Roads Department,AOC,Services,120.0
1319,2019-20,Public Works Roads Department,AOC,Works,165.8495145631068
1320,2019-20,Public Works Roads Department,Bid Opening,Goods,30.0
1321,2019-20,Public Works Roads Department,Financial Bid Opening,Works,156.82584269662922
1322,2019-20,Public Works Roads Department,Financial Evaluation,Works,121.55844155844156
1323,2019-20,Public Works Roads Department,Technical Bid Opening,Works,142.5
1324,2019-20,Public Works Roads Department,Technical Evaluation,Works,135.8490566037736
1325,2019-20,Public Works Roads Department,To be Opened,Goods,30.0
1326,2019-20,Public Works Roads Department,To be Opened,Services,90.0
1327,2019-20,Public Works Roads Department,To be Opened,Works,154.4291338582677
1328,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Services,75.0
1329,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Works,90.0
1330,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,Financial Evaluation,Goods,90.0
1331,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,Technical Evaluation,Goods,135.0
1332,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,Technical Evaluation,Services,180.0
1333,2019-20,SECONDARY EDUCATION DEPARTMENT ASSAM,To be Opened,Goods,120.0
1334,2019-20,Secretariat Administration Department,AOC,Services,90.0
1335,2019-20,Skill Employment and Entrepreneurship Department,AOC,Services,180.0
1336,2019-20,Skill Employment and Entrepreneurship Department,Technical Evaluation,Services,165.0
1337,2019-20,Skill Employment and Entrepreneurship Department,To be Opened,Services,123.0
1338,2019-20,Skill Employment and Entrepreneurship Department,To be Opened,Works,180.0
1339,2019-20,Social Welfare Department,Evaluation,Goods,180.0
1340,2019-20,Social Welfare Department,Financial Bid Opening,Goods,730.0
1341,2019-20,Social Welfare Department,Financial Evaluation,Goods,343.3333333333333
1342,2019-20,Social Welfare Department,To be Opened,Goods,55.5
1343,2019-20,Social Welfare Department,To be Opened,Works,90.0
1344,2019-20,Soil Conservation Department,AOC,Works,180.0
1345,2019-20,Tea Tribes Welfare Department,To be Opened,Services,202.5
1346,2019-20,Transformation and Development Department,Bid Opening,Services,180.0
1347,2019-20,Urban Development Department,AOC,Goods,180.0
1348,2019-20,Urban Development Department,AOC,Services,120.0
1349,2019-20,Urban Development Department,AOC,Works,163.53846153846155
1350,2019-20,Urban Development Department,Evaluation,Services,180.0
1351,2019-20,Urban Development Department,Financial Bid Opening,Works,162.85714285714286
1352,2019-20,Urban Development Department,Financial Evaluation,Services,120.0
1353,2019-20,Urban Development Department,Financial Evaluation,Works,142.5
1354,2019-20,Urban Development Department,Technical Bid Opening,Services,120.0
1355,2019-20,Urban Development Department,Technical Bid Opening,Works,150.0
1356,2019-20,Urban Development Department,Technical Evaluation,Goods,180.0
1357,2019-20,Urban Development Department,Technical Evaluation,Services,180.0
1358,2019-20,Urban Development Department,Technical Evaluation,Works,162.85714285714286
1359,2019-20,Urban Development Department,To be Opened,Goods,180.0
1360,2019-20,Urban Development Department,To be Opened,Services,201.66666666666666
1361,2019-20,Urban Development Department,To be Opened,Works,134.11764705882354
1362,2019-20,Water Resources Department- World Bank Tenders,Financial Bid Opening,Goods,120.0
1363,2019-20,Welfare of Minorities Development Department,AOC,Goods,45.0
1364,2019-20,Welfare of Minorities Development Department,To be Opened,Goods,45.0
1365,2019-20,Welfare of Plain Tribes and Backward Classes,AOC,Goods,198.84615384615384
1366,2019-20,Welfare of Plain Tribes and Backward Classes,AOC,Services,180.0
1367,2019-20,Welfare of Plain Tribes and Backward Classes,AOC,Works,141.66666666666666
1368,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,373.3333333333333
1369,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Services,180.0
1370,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,150.0
1371,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,337.85714285714283
1372,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,270.0
1373,2019-20,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,165.0
1374,2019-20,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Goods,272.5
1375,2019-20,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,153.10344827586206
1376,2019-20,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,608.3333333333334
1377,2019-20,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,180.0
1378,2019-20,Welfare of Plain Tribes and Backward Classes,To be Opened,Goods,282.9166666666667
1379,2019-20,Welfare of Plain Tribes and Backward Classes,To be Opened,Services,270.0
1380,2020-21,Animal Husbandry and Veterinary Department,AOC,Goods,266.875
1381,2020-21,Animal Husbandry and Veterinary Department,AOC,Services,90.0
1382,2020-21,Animal Husbandry and Veterinary Department,AOC,Works,180.0
1383,2020-21,Animal Husbandry and Veterinary Department,Financial Bid Opening,Goods,90.0
1384,2020-21,Animal Husbandry and Veterinary Department,Financial Bid Opening,Works,180.0
1385,2020-21,Animal Husbandry and Veterinary Department,Technical Bid Opening,Goods,135.0
1386,2020-21,Animal Husbandry and Veterinary Department,Technical Bid Opening,Services,90.0
1387,2020-21,Animal Husbandry and Veterinary Department,Technical Bid Opening,Works,180.0
1388,2020-21,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,272.5
1389,2020-21,Animal Husbandry and Veterinary Department,Technical Evaluation,Works,180.0
1390,2020-21,Animal Husbandry and Veterinary Department,To be Opened,Goods,365.0
1391,2020-21,Animal Husbandry and Veterinary Department,To be Opened,Services,90.0
1392,2020-21,Animal Husbandry and Veterinary Department,To be Opened,Works,180.0
1393,2020-21,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,365.0
1394,2020-21,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Works,180.0
1395,2020-21,Animal Husbandry and Veterinary Department-Externally Aided Project,Technical Bid Opening,Goods,365.0
1396,2020-21,Assam Electricity Grid Corporation Ltd,AOC,Goods,180.0
1397,2020-21,Assam Electricity Grid Corporation Ltd,AOC,Services,180.0
1398,2020-21,Assam Electricity Grid Corporation Ltd,AOC,Works,180.0
1399,2020-21,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Goods,180.0
1400,2020-21,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,180.0
1401,2020-21,Assam Electricity Grid Corporation Ltd,Financial Evaluation,Works,180.0
1402,2020-21,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Goods,180.0
1403,2020-21,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Services,180.0
1404,2020-21,Assam Electricity Grid Corporation Ltd,Technical Bid Opening,Works,190.0
1405,2020-21,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Goods,180.0
1406,2020-21,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,180.0
1407,2020-21,Assam Electricity Grid Corporation Ltd,To be Opened,Goods,180.0
1408,2020-21,Assam Electricity Grid Corporation Ltd,To be Opened,Works,178.92857142857142
1409,2020-21,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Works,180.0
1410,2020-21,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,Financial Bid Opening,Works,120.0
1411,2020-21,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,Technical Bid Opening,Works,180.0
1412,2020-21,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,To be Opened,Works,180.0
1413,2020-21,Assam Home Guards and Civil Defence Organization,AOC,Goods,365.0
1414,2020-21,Assam Inland Water Transport Development Society,AOC,Services,120.0
1415,2020-21,Assam Inland Water Transport Development Society,Bid Opening,Services,130.0
1416,2020-21,Assam Inland Water Transport Development Society,Technical Evaluation,Services,120.0
1417,2020-21,Assam Inland Water Transport Development Society,To be Opened,Services,120.0
1418,2020-21,Assam Police,AOC,Goods,272.5
1419,2020-21,Assam Police,AOC,Services,365.0
1420,2020-21,Assam Police,Bid Opening,Services,180.0
1421,2020-21,Assam Police,Financial Bid Opening,Goods,180.0
1422,2020-21,Assam Police,Financial Evaluation,Goods,365.0
1423,2020-21,Assam Police,Technical Bid Opening,Goods,217.0
1424,2020-21,Assam Police,Technical Evaluation,Goods,180.0
1425,2020-21,Assam Police,Technical Evaluation,Services,180.0
1426,2020-21,Assam Police,To be Opened,Goods,272.5
1427,2020-21,Assam Police,To be Opened,Services,180.0
1428,2020-21,Assam Police Housing Corporation Ltd,AOC,Works,121.5
1429,2020-21,Assam Police Housing Corporation Ltd,Technical Bid Opening,Works,150.0
1430,2020-21,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,120.0
1431,2020-21,Assam Police Housing Corporation Ltd,To be Opened,Works,120.0
1432,2020-21,Assam Power Distribution Company Limited- Externally Aided Project,Financial Bid Opening,Works,120.0
1433,2020-21,Assam Power Distribution Company Limited- Externally Aided Project,Technical Bid Opening,Works,120.0
1434,2020-21,Assam Power Distribution Company Limited- Externally Aided Project,To be Opened,Works,180.0
1435,2020-21,Assam Power Distribution Company Ltd,AOC,Works,177.27272727272728
1436,2020-21,Assam Power Distribution Company Ltd,Financial Evaluation,Works,90.0
1437,2020-21,Assam Power Distribution Company Ltd,Technical Bid Opening,Services,365.0
1438,2020-21,Assam Power Distribution Company Ltd,Technical Bid Opening,Works,180.0
1439,2020-21,Assam Power Distribution Company Ltd,Technical Evaluation,Works,180.0
1440,2020-21,Assam Power Distribution Company Ltd,To be Opened,Goods,180.0
1441,2020-21,Assam Power Distribution Company Ltd,To be Opened,Services,180.0
1442,2020-21,Assam Power Distribution Company Ltd,To be Opened,Works,180.0
1443,2020-21,Assam Power Generation Company Limited,AOC,Goods,120.0
1444,2020-21,Assam Power Generation Company Limited,AOC,Works,120.0
1445,2020-21,Assam Power Generation Company Limited,Technical Evaluation,Works,180.0
1446,2020-21,Assam Power Generation Company Limited APGCL - ADB,Financial Bid Opening,Works,180.0
1447,2020-21,Assam Power Generation Company Limited APGCL - ADB,To be Opened,Services,180.0
1448,2020-21,Assam Power Generation Company Limited APGCL - ADB,To be Opened,Works,120.0
1449,2020-21,Assam Science and Technology University,AOC,Goods,90.0
1450,2020-21,Assam Science and Technology University,To be Opened,Goods,90.0
1451,2020-21,Assam State Disaster Management Authority,AOC,Goods,365.0
1452,2020-21,Assam State Disaster Management Authority,AOC,Services,180.0
1453,2020-21,Assam State Disaster Management Authority,Bid Opening,Services,365.0
1454,2020-21,Assam State Disaster Management Authority,Financial Evaluation,Goods,180.0
1455,2020-21,Assam State Disaster Management Authority,Technical Bid Opening,Goods,180.0
1456,2020-21,Assam State Disaster Management Authority,Technical Evaluation,Goods,180.0
1457,2020-21,Assam State Disaster Management Authority,Technical Evaluation,Services,365.0
1458,2020-21,Assam State Disaster Management Authority,To be Opened,Goods,547.5
1459,2020-21,Assam State Disaster Management Authority,To be Opened,Services,272.5
1460,2020-21,Assam State Transport Corporation,AOC,Goods,45.0
1461,2020-21,Assam State Transport Corporation,AOC,Works,120.0
1462,2020-21,Assam State Transport Corporation,Financial Evaluation,Goods,180.0
1463,2020-21,Assam State Transport Corporation,To be Opened,Goods,180.0
1464,2020-21,Assam State Transport Corporation,To be Opened,Services,150.0
1465,2020-21,Axom Sarba Siksha Abhijan Mission,Technical Bid Opening,Goods,90.0
1466,2020-21,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,90.0
1467,2020-21,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,79.5
1468,2020-21,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,168.75
1469,2020-21,Axom Sarba Siksha Abhijan Mission,To be Opened,Goods,91.07142857142857
1470,2020-21,Axom Sarba Siksha Abhijan Mission,To be Opened,Services,87.6923076923077
1471,2020-21,Axom Sarba Siksha Abhijan Mission,To be Opened,Works,162.0
1472,2020-21,BODOLAND UNIVERSITY,Technical Evaluation,Works,180.0
1473,2020-21,BODOLAND UNIVERSITY,To be Opened,Works,180.0
1474,2020-21,Bodoland Territorial Council,AOC,Goods,180.0
1475,2020-21,Bodoland Territorial Council,AOC,Works,180.0
1476,2020-21,Bodoland Territorial Council,Financial Bid Opening,Goods,180.0
1477,2020-21,Bodoland Territorial Council,Financial Bid Opening,Works,180.0
1478,2020-21,Bodoland Territorial Council,Financial Evaluation,Goods,161.25
1479,2020-21,Bodoland Territorial Council,Financial Evaluation,Works,180.0
1480,2020-21,Bodoland Territorial Council,Technical Bid Opening,Goods,180.0
1481,2020-21,Bodoland Territorial Council,Technical Bid Opening,Works,180.0
1482,2020-21,Bodoland Territorial Council,Technical Evaluation,Goods,180.0
1483,2020-21,Bodoland Territorial Council,Technical Evaluation,Works,168.0
1484,2020-21,Bodoland Territorial Council,To be Opened,Goods,163.63636363636363
1485,2020-21,Bodoland Territorial Council,To be Opened,Works,180.0
1486,2020-21,Bodoland Territorial Council-PWD,AOC,Works,180.0
1487,2020-21,Bodoland Territorial Council-PWD,Financial Bid Opening,Works,180.0
1488,2020-21,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,180.0
1489,2020-21,Bodoland Territorial Council-PWD,Technical Evaluation,Works,180.0
1490,2020-21,Bodoland Territorial Council-PWD,To be Opened,Works,180.0
1491,2020-21,Bodoland Territorial Council-WRD,AOC,Works,180.0
1492,2020-21,Bodoland Territorial Council-WRD,Financial Bid Opening,Works,180.0
1493,2020-21,Bodoland Territorial Council-WRD,Financial Evaluation,Works,180.0
1494,2020-21,Bodoland Territorial Council-WRD,Technical Evaluation,Works,180.0
1495,2020-21,Bodoland Territorial Council-WRD,To be Opened,Works,180.0
1496,2020-21,Cooperation Department,AOC,Goods,120.0
1497,2020-21,Cooperation Department,AOC,Works,180.0
1498,2020-21,Cooperation Department,Bid Opening,Services,60.0
1499,2020-21,Cooperation Department,Financial Bid Opening,Goods,120.0
1500,2020-21,Cooperation Department,Financial Bid Opening,Works,180.0
1501,2020-21,Cooperation Department,Technical Bid Opening,Goods,120.0
1502,2020-21,Cooperation Department,Technical Bid Opening,Works,180.0
1503,2020-21,Cooperation Department,To be Opened,Goods,120.0
1504,2020-21,Cooperation Department,To be Opened,Works,180.0
1505,2020-21,Cotton University,AOC,Works,180.0
1506,2020-21,Department of Cultural Affairs,AOC,Services,365.0
1507,2020-21,Department of Cultural Affairs,AOC,Works,365.0
1508,2020-21,Department of Cultural Affairs,Financial Bid Opening,Goods,30.0
1509,2020-21,Department of Cultural Affairs,Financial Bid Opening,Works,365.0
1510,2020-21,Department of Cultural Affairs,Technical Bid Opening,Works,365.0
1511,2020-21,Department of Cultural Affairs,Technical Evaluation,Works,365.0
1512,2020-21,Department of Fisheries,AOC,Services,180.0
1513,2020-21,Department of Fisheries,Financial Evaluation,Works,180.0
1514,2020-21,Department of Fisheries,To be Opened,Services,120.0
1515,2020-21,Department of Fisheries,To be Opened,Works,180.0
1516,2020-21,Department of Handloom Textile and Sericulture,AOC,Goods,202.5
