,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,tender/procurementMethod,tender_count
1108,2022-2023,Information and Public Relations Department,Financial Evaluation,Goods,Open Tender,1
1109,2022-2023,Information and Public Relations Department,Financial Evaluation,Services,Open Tender,1
1110,2022-2023,Inland Water Transport,AOC,Services,Open Tender,4
1111,2022-2023,Inland Water Transport,Cancelled,Services,Open Tender,1
1112,2022-2023,Inland Water Transport,Financial Bid Opening,Services,Open Tender,1
1113,2022-2023,Inland Water Transport,Technical Evaluation,Services,Open Tender,18
1114,2022-2023,Inland Water Transport,To Be Opened,Services,Open Tender,30
1115,2022-2023,Irrigation Department,AOC,Services,Open Tender,1
1116,2022-2023,Irrigation Department,AOC,Works,Open Tender,105
1117,2022-2023,Irrigation Department,Cancelled,Services,Open Tender,1
1118,2022-2023,Irrigation Department,Cancelled,Works,Open Tender,27
1119,2022-2023,Irrigation Department,Retender,Works,Open Tender,2
1120,2022-2023,Karbi Anglong Autonomous Council,AOC,Works,Open Tender,3
1121,2022-2023,Karbi Anglong Autonomous Council,Retender,Works,Open Tender,2
1122,2022-2023,Karbi Anglong Autonomous Council,Technical Evaluation,Works,Open Tender,1
1123,2022-2023,Medical Education and Research Department- Externally Aided Project,AOC,Services,Open Tender,2
1124,2022-2023,National Health Mission,AOC,Goods,Open Tender,3
1125,2022-2023,National Health Mission,AOC,Services,Open Tender,4
1126,2022-2023,National Health Mission,AOC,Works,Open Tender,469
1127,2022-2023,National Health Mission,Cancelled,Goods,Limited,1
1128,2022-2023,National Health Mission,Cancelled,Goods,Open Tender,1
1129,2022-2023,National Health Mission,Cancelled,Services,Open Tender,3
1130,2022-2023,National Health Mission,Cancelled,Works,Open Tender,408
1131,2022-2023,National Health Mission,Financial Bid Opening,Services,Open Tender,1
1132,2022-2023,National Health Mission,Financial Bid Opening,Works,Open Tender,78
1133,2022-2023,National Health Mission,Financial Evaluation,Works,Open Tender,1
1134,2022-2023,National Health Mission,Retender,Goods,Open Tender,1
1135,2022-2023,National Health Mission,Retender,Works,Open Tender,6
1136,2022-2023,National Health Mission,Technical Bid Opening,Goods,Limited,4
1137,2022-2023,National Health Mission,Technical Bid Opening,Goods,Open Limited,10
1138,2022-2023,National Health Mission,Technical Bid Opening,Works,Open Tender,4
1139,2022-2023,National Health Mission,Technical Evaluation,Services,Open Tender,2
1140,2022-2023,National Health Mission,Technical Evaluation,Works,Open Tender,152
1141,2022-2023,National Health Mission,To Be Opened,Goods,Open Limited,1
1142,2022-2023,National Health Mission,To Be Opened,Goods,Open Tender,1
1143,2022-2023,National Health Mission,To Be Opened,Services,Open Tender,1
1144,2022-2023,National Health Mission,To Be Opened,Works,Open Tender,48
1145,2022-2023,Office of the Chief Electoral Officer Assam,AOC,Services,Open Tender,2
1146,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Goods,Open Tender,7
1147,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Services,Open Tender,1
1148,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Open Tender,68
1149,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Goods,Open Tender,4
1150,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Services,Limited,1
1151,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Services,Open Tender,3
1152,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Cancelled,Works,Open Tender,59
1153,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Bid Opening,Goods,Open Tender,2
1154,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Bid Opening,Works,Open Tender,2
1155,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Services,Limited,1
1156,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Financial Evaluation,Works,Open Tender,1
1157,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Goods,Open Tender,1
1158,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Retender,Works,Open Tender,3
1159,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Goods,Open Tender,8
1160,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Services,Open Tender,1
1161,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Bid Opening,Works,Open Tender,24
1162,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Goods,Open Tender,1
1163,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,Technical Evaluation,Works,Open Tender,3
1164,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Services,Open Tender,2
1165,2022-2023,Pr. Chief Conservator of Forest and Head of Forest Force,To Be Opened,Works,Open Tender,10
1166,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Goods,Open Tender,13
1167,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Services,Open Tender,5
1168,2022-2023,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open Tender,13
1169,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Goods,Open Tender,5
1170,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,Open Tender,2
1171,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Retender,Goods,Open Tender,2
1172,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Retender,Works,Open Tender,2
1173,2022-2023,Principal Secretary- P and RD- Assam Secretariat,Technical Bid Opening,Goods,Open Tender,5
1174,2022-2023,Principal Secretary-Department of Information Technology,AOC,Goods,Open Tender,4
1175,2022-2023,Principal Secretary-Department of Information Technology,AOC,Works,Open Tender,10
1176,2022-2023,Principal Secretary-Department of Information Technology,Cancelled,Goods,Open Tender,3
1177,2022-2023,Principal Secretary-Department of Information Technology,Cancelled,Works,Open Tender,3
1178,2022-2023,Principal Secretary-Department of Information Technology,Financial Bid Opening,Services,Open Tender,1
1179,2022-2023,Principal Secretary-Department of Information Technology,Financial Evaluation,Works,Open Tender,1
1180,2022-2023,Principal Secretary-Department of Information Technology,Retender,Services,Limited,1
1181,2022-2023,Principal Secretary-Department of Information Technology,To Be Opened,Works,Open Tender,1
1182,2022-2023,Public Health Engineering Department,AOC,Goods,Open Tender,1
1183,2022-2023,Public Health Engineering Department,AOC,Services,Limited,1
1184,2022-2023,Public Health Engineering Department,AOC,Services,Open Tender,3
1185,2022-2023,Public Health Engineering Department,AOC,Works,Open Tender,3
1186,2022-2023,Public Health Engineering Department,Cancelled,Works,Open Tender,1
1187,2022-2023,Public Health Engineering Department,Financial Bid Opening,Goods,Open Tender,1
1188,2022-2023,Public Health Engineering Department,Financial Evaluation,Goods,Open Tender,4
1189,2022-2023,Public Health Engineering Department,Financial Evaluation,Services,Open Tender,2
1190,2022-2023,Public Health Engineering Department,Financial Evaluation,Works,Open Tender,1
1191,2022-2023,Public Health Engineering Department,Retender,Goods,Open Tender,1
1192,2022-2023,Public Health Engineering Department,Retender,Services,Open Tender,1
1193,2022-2023,Public Health Engineering Department,Retender,Works,Open Tender,2
1194,2022-2023,Public Health Engineering Department,Technical Bid Opening,Services,Open Tender,1
1195,2022-2023,Public Health Engineering Department,Technical Evaluation,Works,Open Tender,5
1196,2022-2023,Public Health Engineering Department,To Be Opened,Services,Limited,1
1197,2022-2023,Public Health Engineering Department,To Be Opened,Works,Open Tender,1
1198,2022-2023,Public Works Building and NH Department,AOC,Works,Open Tender,505
1199,2022-2023,Public Works Building and NH Department,Cancelled,Services,Open Tender,8
1200,2022-2023,Public Works Building and NH Department,Cancelled,Works,Open Tender,302
1201,2022-2023,Public Works Building and NH Department,Financial Bid Opening,Works,Open Tender,72
1202,2022-2023,Public Works Building and NH Department,Financial Evaluation,Works,Open Tender,10
1203,2022-2023,Public Works Building and NH Department,Retender,Works,Open Tender,6
1204,2022-2023,Public Works Building and NH Department,Technical Bid Opening,Works,Open Tender,31
1205,2022-2023,Public Works Building and NH Department,Technical Evaluation,Works,Open Tender,4
1206,2022-2023,Public Works Building and NH Department,To Be Opened,Works,Open Tender,1
1207,2022-2023,Public Works Roads Department,AOC,Goods,Open Tender,1
1208,2022-2023,Public Works Roads Department,AOC,Works,Open Tender,1073
1209,2022-2023,Public Works Roads Department,Cancelled,Works,Open Tender,225
1210,2022-2023,Public Works Roads Department,Financial Bid Opening,Works,Open Tender,39
1211,2022-2023,Public Works Roads Department,Financial Evaluation,Works,Open Tender,7
1212,2022-2023,Public Works Roads Department,Retender,Services,Open Tender,2
1213,2022-2023,Public Works Roads Department,Retender,Works,Open Tender,12
1214,2022-2023,Public Works Roads Department,Technical Bid Opening,Works,Open Tender,14
1215,2022-2023,Public Works Roads Department,Technical Evaluation,Works,Open Tender,24
1216,2022-2023,Public Works Roads Department,To Be Opened,Services,Open Tender,7
1217,2022-2023,Public Works Roads Department,To Be Opened,Works,Open Tender,65
1218,2022-2023,Public Works Roads Department-Externally Aided Project,AOC,Works,Open Tender,127
1219,2022-2023,Public Works Roads Department-Externally Aided Project,Cancelled,Works,Open Tender,32
1220,2022-2023,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Services,Open Tender,2
1221,2022-2023,Public Works Roads Department-Externally Aided Project,Technical Bid Opening,Services,Open Tender,2
1222,2022-2023,Public Works Roads Department-Externally Aided Project,Technical Evaluation,Works,Open Tender,10
1223,2022-2023,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Goods,Open Tender,3
1224,2022-2023,Science Technology and Climate Change Department,AOC,Goods,Open Tender,3
1225,2022-2023,Science Technology and Climate Change Department,AOC,Services,Open Tender,1
1226,2022-2023,Science Technology and Climate Change Department,Cancelled,Goods,Open Tender,1
1227,2022-2023,Science Technology and Climate Change Department,Financial Bid Opening,Goods,Open Tender,1
1228,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Services,Open Tender,7
1229,2022-2023,Skill Employment and Entrepreneurship Department,AOC,Works,Open Tender,2
1230,2022-2023,Skill Employment and Entrepreneurship Department,Cancelled,Services,Open Tender,1
1231,2022-2023,Social Welfare Department,AOC,Goods,Open Tender,1
1232,2022-2023,Social Welfare Department,Cancelled,Goods,Open Tender,1
1233,2022-2023,Social Welfare Department,Cancelled,Services,Open Tender,1
1234,2022-2023,Social Welfare Department,Financial Evaluation,Goods,Open Tender,1
1235,2022-2023,Social Welfare Department,Technical Bid Opening,Goods,Open Tender,1
1236,2022-2023,Soil Conservation Department,AOC,Works,Open Tender,12
1237,2022-2023,Soil Conservation Department,Cancelled,Works,Open Tender,7
1238,2022-2023,Transformation and Development Department,AOC,Services,Limited,1
1239,2022-2023,Transformation and Development Department,AOC,Services,Open Tender,1
1240,2022-2023,Transformation and Development Department,Financial Evaluation,Services,Open Tender,1
1241,2022-2023,Transport Department,AOC,Services,Open Tender,1
1242,2022-2023,Transport Department,Cancelled,Services,Open Tender,1
1243,2022-2023,Transport Department,To Be Opened,Services,Open Tender,1
1244,2022-2023,Transport Department- Externally Funded Projects,AOC,Goods,Open Tender,1
1245,2022-2023,Transport Department- Externally Funded Projects,AOC,Services,Open Tender,2
1246,2022-2023,Transport Department- Externally Funded Projects,Cancelled,Works,Open Tender,1
1247,2022-2023,Transport Department- Externally Funded Projects,Financial Evaluation,Services,Open Tender,1
1248,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Services,Global Tenders,1
1249,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Services,Open Tender,1
1250,2022-2023,Urban Affairs Department Externally Aided Project,AOC,Works,Open Tender,3
1251,2022-2023,Urban Affairs Department Externally Aided Project,Cancelled,Goods,Open Tender,1
1252,2022-2023,Urban Affairs Department Externally Aided Project,Cancelled,Works,Open Tender,2
1253,2022-2023,Urban Development Department,AOC,Goods,Open Tender,4
1254,2022-2023,Urban Development Department,AOC,Services,Open Tender,3
1255,2022-2023,Urban Development Department,AOC,Works,Open Tender,16
1256,2022-2023,Urban Development Department,Cancelled,Goods,Open Tender,3
1257,2022-2023,Urban Development Department,Cancelled,Services,Open Tender,7
1258,2022-2023,Urban Development Department,Cancelled,Works,Open Tender,14
1259,2022-2023,Urban Development Department,Financial Bid Opening,Services,Open Tender,1
1260,2022-2023,Urban Development Department,Financial Bid Opening,Works,Open Tender,3
1261,2022-2023,Urban Development Department,Financial Evaluation,Services,Open Tender,1
1262,2022-2023,Urban Development Department,Financial Evaluation,Works,Open Tender,5
1263,2022-2023,Urban Development Department,Retender,Works,Open Tender,4
1264,2022-2023,Urban Development Department,Technical Bid Opening,Services,Limited,2
1265,2022-2023,Urban Development Department,Technical Evaluation,Services,Open Tender,1
1266,2022-2023,Urban Development Department,Technical Evaluation,Works,Open Tender,4
1267,2022-2023,Urban Development Department,To Be Opened,Goods,Open Tender,1
1268,2022-2023,Urban Development Department,To Be Opened,Services,Open Tender,1
1269,2022-2023,Urban Development Department,To Be Opened,Works,Open Tender,3
1270,2022-2023,Water Resources Department- World Bank Tenders,AOC,Goods,Open Tender,2
1271,2022-2023,Water Resources Department- World Bank Tenders,AOC,Services,Open Tender,1
1272,2022-2023,Water Resources Department- World Bank Tenders,AOC,Works,Open Tender,3
1273,2022-2023,Water Resources Department- World Bank Tenders,Financial Evaluation,Goods,Open Tender,2
1274,2022-2023,Water Resources Department- World Bank Tenders,To Be Opened,Goods,Open Tender,1
1275,2022-2023,Welfare of Minorities Development Department,Cancelled,Goods,Open Tender,1
1276,2022-2023,Welfare of Minorities Development Department,Cancelled,Services,Open Tender,7
1277,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Open Tender,8
1278,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,Limited,28
1279,2022-2023,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open Tender,54
1280,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open Tender,6
1281,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Limited,1
1282,2022-2023,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Open Tender,3
1283,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,Open Tender,13
1284,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,Open Tender,1
1285,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Limited,2
1286,2022-2023,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,Open Tender,1
1287,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,Open Tender,1
1288,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Goods,Open Tender,16
1289,2022-2023,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,Open Tender,1
1290,2022-2023,Welfare of Plain Tribes and Backward Classes,To Be Opened,Goods,Open Tender,2
1291,2023-2024,Assam Agricultural University,AOC,Goods,Open Tender,1
1292,2023-2024,Assam Electricity Grid Corporation Ltd,AOC,Works,Open Tender,1
1293,2023-2024,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open Tender,1
1294,2023-2024,Assam Police Housing Corporation Ltd,AOC,Works,Open Tender,15
1295,2023-2024,Assam Power Generation Company Limited,Financial Bid Opening,Works,Open Tender,1
1296,2023-2024,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Open Tender,6
1297,2023-2024,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,Open Tender,2
1298,2023-2024,Bodoland Territorial Council,AOC,Works,Open Tender,8
1299,2023-2024,Bodoland Territorial Council,Cancelled,Goods,Open Tender,1
1300,2023-2024,Bodoland Territorial Council,Cancelled,Works,Open Tender,1
1301,2023-2024,Bodoland Territorial Council,Financial Bid Opening,Works,Open Tender,6
1302,2023-2024,Bodoland Territorial Council,Financial Evaluation,Works,Open Tender,1
1303,2023-2024,Bodoland Territorial Council,To Be Opened,Goods,Open Tender,1
1304,2023-2024,Bodoland Territorial Council-PWD,Cancelled,Works,Open Tender,1
1305,2023-2024,Department of Tourism,To Be Opened,Services,Open Tender,3
1306,2023-2024,Department of Water Resources,AOC,Works,Open Tender,2
1307,2023-2024,Department of Water Resources,Financial Bid Opening,Works,Open Tender,1
1308,2023-2024,Department of Water Resources,Financial Evaluation,Works,Open Tender,1
1309,2023-2024,Department of Water Resources,Technical Evaluation,Goods,Open Tender,2
1310,2023-2024,Dibrugarh University,Technical Evaluation,Goods,Open Tender,1
1311,2023-2024,Finance Department - World Bank Tenders,AOC,Goods,Open Tender,1
1312,2023-2024,Guwahati Metropolitan Development Authority,AOC,Works,Open Tender,1
1313,2023-2024,Health and Family Welfare Department,AOC,Services,Open Tender,1
1314,2023-2024,Health and Family Welfare Department,Cancelled,Goods,Open Tender,1
1315,2023-2024,Industries and Commerce Department,AOC,Goods,Open Limited,1
1316,2023-2024,Industries and Commerce Department,Cancelled,Goods,Open Tender,3
1317,2023-2024,Industries and Commerce Department,Technical Evaluation,Services,Open Tender,1
1318,2023-2024,Industries and Commerce Department,To Be Opened,Goods,Open Tender,2
1319,2023-2024,Inland Water Transport,Technical Evaluation,Services,Open Tender,7
1320,2023-2024,Inland Water Transport,To Be Opened,Services,Open Tender,11
1321,2023-2024,Irrigation Department,AOC,Works,Open Tender,1
1322,2023-2024,Irrigation Department,Cancelled,Works,Open Tender,4
1323,2023-2024,Karbi Anglong Autonomous Council,Financial Bid Opening,Works,Open Tender,2
1324,2023-2024,National Health Mission,AOC,Works,Open Tender,5
1325,2023-2024,National Health Mission,Cancelled,Works,Open Tender,5
1326,2023-2024,National Health Mission,Financial Bid Opening,Works,Open Tender,1
1327,2023-2024,National Health Mission,Technical Evaluation,Works,Open Tender,9
1328,2023-2024,Principal Secretary-Department of Information Technology,Cancelled,Works,Open Tender,1
1329,2023-2024,Principal Secretary-Department of Information Technology,To Be Opened,Works,Open Tender,1
1330,2023-2024,Public Health Engineering Department,Retender,Works,Open Tender,1
1331,2023-2024,Public Works Building and NH Department,AOC,Works,Open Tender,5
1332,2023-2024,Public Works Building and NH Department,Cancelled,Works,Open Tender,3
1333,2023-2024,Public Works Building and NH Department,Financial Evaluation,Works,Open Tender,1
1334,2023-2024,Public Works Building and NH Department,To Be Opened,Works,Open Tender,1
1335,2023-2024,Public Works Roads Department,Cancelled,Works,Open Tender,2
1336,2023-2024,SECONDARY EDUCATION DEPARTMENT ASSAM,To Be Opened,Services,Open Tender,1
1337,2023-2024,Urban Development Department,Cancelled,Works,Open Tender,2
1338,2023-2024,Urban Development Department,Financial Evaluation,Works,Open Tender,1
