,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
1090,2021-2022,Public Works Building and NH Department,Cancelled,Works,0 bids,8
1091,2021-2022,Public Works Building and NH Department,Cancelled,Works,1 bids,2
1092,2021-2022,Public Works Building and NH Department,Cancelled,Works,2 bids,3
1093,2021-2022,Public Works Building and NH Department,Cancelled,Works,3 bids,3
1094,2021-2022,Public Works Building and NH Department,Cancelled,Works,4 and more bids,2
1095,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,1 bids,1
1096,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,2 bids,2
1097,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,3 bids,1
1098,2021-2022,Public Works Building and NH Department,Financial Bid Opening,Works,4 and more bids,2
1099,2021-2022,Public Works Building and NH Department,Financial Evaluation,Goods,2 bids,2
1100,2021-2022,Public Works Building and NH Department,Financial Evaluation,Works,4 and more bids,1
1101,2021-2022,Public Works Building and NH Department,Retender,Works,1 bids,1
1102,2021-2022,Public Works Building and NH Department,Retender,Works,2 bids,1
1103,2021-2022,Public Works Building and NH Department,Technical Bid Opening,Works,1 bids,1
1104,2021-2022,Public Works Building and NH Department,Technical Bid Opening,Works,2 bids,2
1105,2021-2022,Public Works Building and NH Department,Technical Evaluation,Works,4 and more bids,1
1106,2021-2022,Public Works Building and NH Department,To Be Opened,Works,1 bids,1
1107,2021-2022,Public Works Roads Department,AOC,Goods,2 bids,1
1108,2021-2022,Public Works Roads Department,AOC,Works,0 bids,89
1109,2021-2022,Public Works Roads Department,AOC,Works,1 bids,16
1110,2021-2022,Public Works Roads Department,AOC,Works,2 bids,139
1111,2021-2022,Public Works Roads Department,AOC,Works,3 bids,91
1112,2021-2022,Public Works Roads Department,AOC,Works,4 and more bids,145
1113,2021-2022,Public Works Roads Department,Cancelled,Works,0 bids,36
1114,2021-2022,Public Works Roads Department,Cancelled,Works,1 bids,10
1115,2021-2022,Public Works Roads Department,Cancelled,Works,2 bids,18
1116,2021-2022,Public Works Roads Department,Cancelled,Works,3 bids,7
1117,2021-2022,Public Works Roads Department,Cancelled,Works,4 and more bids,16
1118,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,0 bids,1
1119,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,1 bids,13
1120,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,2 bids,108
1121,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,3 bids,61
1122,2021-2022,Public Works Roads Department,Financial Bid Opening,Works,4 and more bids,59
1123,2021-2022,Public Works Roads Department,Financial Evaluation,Works,0 bids,6
1124,2021-2022,Public Works Roads Department,Financial Evaluation,Works,1 bids,1
1125,2021-2022,Public Works Roads Department,Financial Evaluation,Works,2 bids,6
1126,2021-2022,Public Works Roads Department,Financial Evaluation,Works,3 bids,11
1127,2021-2022,Public Works Roads Department,Financial Evaluation,Works,4 and more bids,7
1128,2021-2022,Public Works Roads Department,Retender,Works,1 bids,11
1129,2021-2022,Public Works Roads Department,Retender,Works,2 bids,3
1130,2021-2022,Public Works Roads Department,Retender,Works,3 bids,6
1131,2021-2022,Public Works Roads Department,Retender,Works,4 and more bids,5
1132,2021-2022,Public Works Roads Department,Technical Bid Opening,Works,1 bids,6
1133,2021-2022,Public Works Roads Department,Technical Bid Opening,Works,2 bids,1
1134,2021-2022,Public Works Roads Department,Technical Bid Opening,Works,3 bids,2
1135,2021-2022,Public Works Roads Department,Technical Evaluation,Works,0 bids,6
1136,2021-2022,Public Works Roads Department,Technical Evaluation,Works,1 bids,3
1137,2021-2022,Public Works Roads Department,Technical Evaluation,Works,2 bids,31
1138,2021-2022,Public Works Roads Department,Technical Evaluation,Works,3 bids,29
1139,2021-2022,Public Works Roads Department,Technical Evaluation,Works,4 and more bids,43
1140,2021-2022,Public Works Roads Department,To Be Opened,Works,0 bids,10
1141,2021-2022,Public Works Roads Department,To Be Opened,Works,1 bids,31
1142,2021-2022,Public Works Roads Department,To Be Opened,Works,2 bids,4
1143,2021-2022,Public Works Roads Department,To Be Opened,Works,3 bids,13
1144,2021-2022,Public Works Roads Department,To Be Opened,Works,4 and more bids,4
1145,2021-2022,Public Works Roads Department-Externally Aided Project,AOC,Works,0 bids,6
1146,2021-2022,Public Works Roads Department-Externally Aided Project,Cancelled,Works,0 bids,1
1147,2021-2022,Public Works Roads Department-Externally Aided Project,Financial Bid Opening,Works,0 bids,1
1148,2021-2022,Rashtriya Madhyamik Siksha Abhijan,AOC,Goods,4 and more bids,1
1149,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Goods,3 bids,1
1150,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Cancelled,Services,0 bids,1
1151,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,2 bids,1
1152,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Financial Evaluation,Goods,4 and more bids,1
1153,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,2 bids,1
1154,2021-2022,Rashtriya Madhyamik Siksha Abhijan,Technical Evaluation,Services,3 bids,1
1155,2021-2022,SECONDARY EDUCATION DEPARTMENT ASSAM,AOC,Services,0 bids,1
1156,2021-2022,Social Welfare Department,Cancelled,Goods,4 and more bids,2
1157,2021-2022,Social Welfare Department,Cancelled,Services,4 and more bids,1
1158,2021-2022,Social Welfare Department,Financial Evaluation,Goods,0 bids,1
1159,2021-2022,Soil Conservation Department,AOC,Works,0 bids,3
1160,2021-2022,Soil Conservation Department,AOC,Works,1 bids,2
1161,2021-2022,Soil Conservation Department,AOC,Works,2 bids,4
1162,2021-2022,Soil Conservation Department,AOC,Works,3 bids,6
1163,2021-2022,Soil Conservation Department,AOC,Works,4 and more bids,1
1164,2021-2022,Soil Conservation Department,Retender,Works,1 bids,2
1165,2021-2022,Tea Tribes Welfare Department,AOC,Goods,3 bids,1
1166,2021-2022,Tea Tribes Welfare Department,AOC,Goods,4 and more bids,1
1167,2021-2022,Tea Tribes Welfare Department,Cancelled,Services,4 and more bids,1
1168,2021-2022,Urban Development Department,AOC,Services,0 bids,1
1169,2021-2022,Urban Development Department,AOC,Works,0 bids,2
1170,2021-2022,Urban Development Department,AOC,Works,2 bids,2
1171,2021-2022,Urban Development Department,AOC,Works,3 bids,3
1172,2021-2022,Urban Development Department,Cancelled,Goods,3 bids,1
1173,2021-2022,Urban Development Department,Cancelled,Works,0 bids,2
1174,2021-2022,Urban Development Department,Financial Bid Opening,Works,3 bids,1
1175,2021-2022,Urban Development Department,Retender,Works,0 bids,2
1176,2021-2022,Urban Development Department,Technical Evaluation,Works,3 bids,2
1177,2021-2022,Urban Development Department,To Be Opened,Works,0 bids,2
1178,2021-2022,Urban Development Department,To Be Opened,Works,1 bids,3
1179,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,0 bids,2
1180,2021-2022,Water Resources Department- World Bank Tenders,AOC,Goods,4 and more bids,1
1181,2021-2022,Water Resources Department- World Bank Tenders,Cancelled,Goods,2 bids,1
1182,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,0 bids,21
1183,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,2 bids,12
1184,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,3 bids,19
1185,2021-2022,Welfare of Plain Tribes and Backward Classes,AOC,Works,4 and more bids,10
1186,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,0 bids,5
1187,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,1 bids,1
1188,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,4 and more bids,1
1189,2021-2022,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,0 bids,2
1190,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Goods,3 bids,2
1191,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,2 bids,2
1192,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,3 bids,12
1193,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Bid Opening,Works,4 and more bids,2
1194,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,4 and more bids,4
1195,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,3 bids,1
1196,2021-2022,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Works,4 and more bids,1
1197,2021-2022,Welfare of Plain Tribes and Backward Classes,Retender,Works,0 bids,2
1198,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,1 bids,2
1199,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Bid Opening,Works,2 bids,1
1200,2021-2022,Welfare of Plain Tribes and Backward Classes,Technical Evaluation,Works,2 bids,2
1201,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Goods,3 bids,1
1202,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Works,0 bids,1
1203,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Works,2 bids,1
1204,2021-2022,Welfare of Plain Tribes and Backward Classes,To Be Opened,Works,4 and more bids,1
1205,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Goods,0 bids,2
1206,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Services,0 bids,9
1207,2022-2023,ASSAM CANCER CARE FOUNDATION,AOC,Works,0 bids,4
1208,2022-2023,ASSAM CANCER CARE FOUNDATION,Cancelled,Services,0 bids,1
1209,2022-2023,ASSAM CANCER CARE FOUNDATION,Cancelled,Services,3 bids,1
1210,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,0 bids,7
1211,2022-2023,Animal Husbandry and Veterinary Department,AOC,Goods,4 and more bids,1
1212,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,0 bids,4
1213,2022-2023,Animal Husbandry and Veterinary Department,AOC,Services,2 bids,1
1214,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,0 bids,37
1215,2022-2023,Animal Husbandry and Veterinary Department,AOC,Works,4 and more bids,9
1216,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Goods,0 bids,9
1217,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Services,3 bids,1
1218,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Works,0 bids,11
1219,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Works,3 bids,1
1220,2022-2023,Animal Husbandry and Veterinary Department,Cancelled,Works,4 and more bids,2
1221,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Services,0 bids,3
1222,2022-2023,Animal Husbandry and Veterinary Department,Financial Bid Opening,Works,0 bids,7
1223,2022-2023,Animal Husbandry and Veterinary Department,Financial Evaluation,Goods,0 bids,1
1224,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,4 and more bids,1
1225,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Services,0 bids,1
1226,2022-2023,Animal Husbandry and Veterinary Department,Technical Evaluation,Works,0 bids,2
1227,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,0 bids,4
1228,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,3 bids,1
1229,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,4 and more bids,1
1230,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Services,0 bids,1
1231,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,0 bids,1
1232,2022-2023,Animal Husbandry and Veterinary Department-Externally Aided Project,Cancelled,Goods,4 and more bids,1
1233,2022-2023,Assam Agricultural University,AOC,Goods,0 bids,8
1234,2022-2023,Assam Agricultural University,AOC,Goods,4 and more bids,3
1235,2022-2023,Assam Agricultural University,AOC,Works,0 bids,24
1236,2022-2023,Assam Agricultural University,AOC,Works,2 bids,1
1237,2022-2023,Assam Agricultural University,AOC,Works,3 bids,2
1238,2022-2023,Assam Agricultural University,AOC,Works,4 and more bids,1
1239,2022-2023,Assam Agricultural University,Cancelled,Goods,0 bids,4
1240,2022-2023,Assam Agricultural University,Cancelled,Goods,4 and more bids,1
1241,2022-2023,Assam Agricultural University,Cancelled,Works,0 bids,6
1242,2022-2023,Assam Agricultural University,Technical Evaluation,Works,4 and more bids,1
1243,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,0 bids,3
1244,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Goods,4 and more bids,1
1245,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,0 bids,20
1246,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,2 bids,1
1247,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,3 bids,4
1248,2022-2023,Assam Electricity Grid Corporation Ltd,AOC,Works,4 and more bids,2
1249,2022-2023,Assam Electricity Grid Corporation Ltd,Cancelled,Works,0 bids,8
1250,2022-2023,Assam Electricity Grid Corporation Ltd,Cancelled,Works,4 and more bids,1
1251,2022-2023,Assam Electricity Grid Corporation Ltd,Financial Bid Opening,Works,4 and more bids,1
1252,2022-2023,Assam Electricity Grid Corporation Ltd,Retender,Works,0 bids,1
1253,2022-2023,Assam Electricity Grid Corporation Ltd,Technical Evaluation,Works,0 bids,1
1254,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Services,0 bids,1
1255,2022-2023,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,Cancelled,Works,4 and more bids,1
1256,2022-2023,Assam Police,Cancelled,Goods,0 bids,3
1257,2022-2023,Assam Police,Cancelled,Goods,4 and more bids,1
1258,2022-2023,Assam Police,Cancelled,Services,0 bids,2
1259,2022-2023,Assam Police,Cancelled,Services,4 and more bids,1
1260,2022-2023,Assam Police,Technical Evaluation,Services,0 bids,1
1261,2022-2023,Assam Police,To Be Opened,Goods,0 bids,1
1262,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,0 bids,20
1263,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,3 bids,2
1264,2022-2023,Assam Police Housing Corporation Ltd,AOC,Works,4 and more bids,4
1265,2022-2023,Assam Police Housing Corporation Ltd,Cancelled,Works,0 bids,20
1266,2022-2023,Assam Police Housing Corporation Ltd,Cancelled,Works,4 and more bids,5
1267,2022-2023,Assam Police Housing Corporation Ltd,To Be Opened,Works,0 bids,1
1268,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,0 bids,9
1269,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,4 and more bids,4
1270,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,0 bids,1
1271,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Financial Evaluation,Works,0 bids,3
1272,2022-2023,Assam Power Distribution Company Limited- Externally Aided Project,Financial Evaluation,Works,4 and more bids,1
1273,2022-2023,Assam Power Distribution Company Ltd,AOC,Goods,0 bids,1
1274,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,0 bids,13
1275,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,3 bids,1
1276,2022-2023,Assam Power Distribution Company Ltd,AOC,Services,4 and more bids,1
1277,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,0 bids,37
1278,2022-2023,Assam Power Distribution Company Ltd,AOC,Works,4 and more bids,4
1279,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Services,0 bids,13
1280,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Services,3 bids,2
1281,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Services,4 and more bids,5
1282,2022-2023,Assam Power Distribution Company Ltd,Cancelled,Works,0 bids,19
1283,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Services,4 and more bids,1
1284,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,0 bids,15
1285,2022-2023,Assam Power Distribution Company Ltd,Financial Bid Opening,Works,4 and more bids,2
1286,2022-2023,Assam Power Distribution Company Ltd,Financial Evaluation,Works,0 bids,5
1287,2022-2023,Assam Power Distribution Company Ltd,Financial Evaluation,Works,4 and more bids,1
1288,2022-2023,Assam Power Distribution Company Ltd,Retender,Works,0 bids,28
1289,2022-2023,Assam Power Distribution Company Ltd,Retender,Works,3 bids,1
1290,2022-2023,Assam Power Distribution Company Ltd,Retender,Works,4 and more bids,4
1291,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Goods,0 bids,2
1292,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Services,0 bids,17
1293,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Services,3 bids,1
1294,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Services,4 and more bids,3
1295,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Works,0 bids,17
1296,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Works,3 bids,1
1297,2022-2023,Assam Power Distribution Company Ltd,Technical Evaluation,Works,4 and more bids,4
1298,2022-2023,Assam Power Distribution Company Ltd,To Be Opened,Works,0 bids,1
1299,2022-2023,Assam Power Distribution Company Ltd,To Be Opened,Works,4 and more bids,1
1300,2022-2023,Assam Power Generation Company Limited,AOC,Goods,0 bids,2
1301,2022-2023,Assam Power Generation Company Limited,AOC,Goods,4 and more bids,1
1302,2022-2023,Assam Power Generation Company Limited,AOC,Services,0 bids,6
1303,2022-2023,Assam Power Generation Company Limited,AOC,Works,0 bids,10
1304,2022-2023,Assam Power Generation Company Limited,AOC,Works,4 and more bids,2
1305,2022-2023,Assam Power Generation Company Limited,Cancelled,Goods,0 bids,2
1306,2022-2023,Assam Power Generation Company Limited,Cancelled,Goods,4 and more bids,1
1307,2022-2023,Assam Power Generation Company Limited,Cancelled,Services,4 and more bids,1
1308,2022-2023,Assam Power Generation Company Limited,Cancelled,Works,0 bids,16
1309,2022-2023,Assam Power Generation Company Limited,Cancelled,Works,4 and more bids,4
1310,2022-2023,Assam Power Generation Company Limited,Financial Bid Opening,Services,0 bids,1
1311,2022-2023,Assam Power Generation Company Limited,Financial Evaluation,Works,0 bids,2
1312,2022-2023,Assam Power Generation Company Limited,Technical Bid Opening,Works,0 bids,2
1313,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Services,0 bids,1
1314,2022-2023,Assam Power Generation Company Limited,Technical Evaluation,Works,3 bids,1
1315,2022-2023,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,0 bids,1
1316,2022-2023,Assam Science and Technology University,AOC,Works,0 bids,1
1317,2022-2023,Assam State Agricultural Marketing Board,AOC,Services,0 bids,2
1318,2022-2023,Assam State Agricultural Marketing Board,AOC,Works,0 bids,1
1319,2022-2023,Assam State Agricultural Marketing Board,Cancelled,Services,0 bids,1
1320,2022-2023,Assam State Agricultural Marketing Board,To Be Opened,Services,0 bids,2
1321,2022-2023,Assam State Agricultural Marketing Board,To Be Opened,Services,4 and more bids,2
1322,2022-2023,Assam State Disaster Management Authority,Cancelled,Services,0 bids,1
1323,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,AOC,Services,0 bids,1
1324,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Retender,Services,0 bids,1
1325,2022-2023,Assam State Disaster Management Authority- Externally Aided Project,Technical Bid Opening,Services,0 bids,1
1326,2022-2023,Assam State Transport Corporation,AOC,Goods,0 bids,4
1327,2022-2023,Assam State Transport Corporation,AOC,Services,0 bids,2
1328,2022-2023,Assam State Transport Corporation,AOC,Works,0 bids,1
1329,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Goods,0 bids,1
1330,2022-2023,Assam State Transport Corporation,Financial Bid Opening,Works,0 bids,1
1331,2022-2023,Assam State Transport Corporation,Financial Evaluation,Goods,4 and more bids,1
1332,2022-2023,Assam State Transport Corporation,Technical Evaluation,Goods,0 bids,1
1333,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Services,0 bids,1
1334,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Works,0 bids,10
1335,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Works,3 bids,1
1336,2022-2023,Axom Sarba Siksha Abhijan Mission,AOC,Works,4 and more bids,6
1337,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,0 bids,1
1338,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,0 bids,45
1339,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,3 bids,1
1340,2022-2023,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,4 and more bids,4
1341,2022-2023,Axom Sarba Siksha Abhijan Mission,Retender,Works,0 bids,8
1342,2022-2023,Axom Sarba Siksha Abhijan Mission,Retender,Works,3 bids,1
1343,2022-2023,Axom Sarba Siksha Abhijan Mission,Retender,Works,4 and more bids,1
1344,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,0 bids,1
1345,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,0 bids,1
1346,2022-2023,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,0 bids,1
1347,2022-2023,Axom Sarba Siksha Abhijan Mission,To Be Opened,Works,0 bids,5
1348,2022-2023,BODOLAND UNIVERSITY,AOC,Works,0 bids,1
1349,2022-2023,BODOLAND UNIVERSITY,AOC,Works,4 and more bids,2
1350,2022-2023,Bodoland Territorial Council,AOC,Goods,0 bids,30
1351,2022-2023,Bodoland Territorial Council,AOC,Goods,2 bids,1
1352,2022-2023,Bodoland Territorial Council,AOC,Goods,3 bids,2
1353,2022-2023,Bodoland Territorial Council,AOC,Goods,4 and more bids,5
1354,2022-2023,Bodoland Territorial Council,AOC,Services,0 bids,1
1355,2022-2023,Bodoland Territorial Council,AOC,Works,0 bids,284
1356,2022-2023,Bodoland Territorial Council,AOC,Works,2 bids,5
1357,2022-2023,Bodoland Territorial Council,AOC,Works,3 bids,11
1358,2022-2023,Bodoland Territorial Council,AOC,Works,4 and more bids,75
1359,2022-2023,Bodoland Territorial Council,Cancelled,Goods,0 bids,8
1360,2022-2023,Bodoland Territorial Council,Cancelled,Goods,3 bids,3
1361,2022-2023,Bodoland Territorial Council,Cancelled,Goods,4 and more bids,6
1362,2022-2023,Bodoland Territorial Council,Cancelled,Services,0 bids,1
1363,2022-2023,Bodoland Territorial Council,Cancelled,Works,0 bids,30
1364,2022-2023,Bodoland Territorial Council,Cancelled,Works,3 bids,2
1365,2022-2023,Bodoland Territorial Council,Cancelled,Works,4 and more bids,5
1366,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Goods,0 bids,8
1367,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Goods,3 bids,1
1368,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Goods,4 and more bids,1
1369,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Services,4 and more bids,1
1370,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Works,0 bids,20
1371,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Works,3 bids,1
1372,2022-2023,Bodoland Territorial Council,Financial Bid Opening,Works,4 and more bids,4
1373,2022-2023,Bodoland Territorial Council,Financial Evaluation,Goods,0 bids,10
1374,2022-2023,Bodoland Territorial Council,Financial Evaluation,Services,0 bids,1
1375,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,0 bids,33
1376,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,2 bids,1
1377,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,3 bids,1
1378,2022-2023,Bodoland Territorial Council,Financial Evaluation,Works,4 and more bids,12
1379,2022-2023,Bodoland Territorial Council,Retender,Goods,0 bids,1
1380,2022-2023,Bodoland Territorial Council,Retender,Goods,4 and more bids,1
1381,2022-2023,Bodoland Territorial Council,Retender,Services,4 and more bids,1
1382,2022-2023,Bodoland Territorial Council,Retender,Works,0 bids,5
1383,2022-2023,Bodoland Territorial Council,Retender,Works,4 and more bids,1
1384,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Goods,0 bids,1
1385,2022-2023,Bodoland Territorial Council,Technical Bid Opening,Works,0 bids,1
1386,2022-2023,Bodoland Territorial Council,Technical Evaluation,Goods,0 bids,3
1387,2022-2023,Bodoland Territorial Council,Technical Evaluation,Goods,4 and more bids,1
1388,2022-2023,Bodoland Territorial Council,Technical Evaluation,Services,0 bids,1
1389,2022-2023,Bodoland Territorial Council,Technical Evaluation,Works,0 bids,3
1390,2022-2023,Bodoland Territorial Council-PWD,AOC,Goods,0 bids,1
1391,2022-2023,Bodoland Territorial Council-PWD,AOC,Services,0 bids,1
1392,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,0 bids,170
1393,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,2 bids,2
1394,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,3 bids,6
1395,2022-2023,Bodoland Territorial Council-PWD,AOC,Works,4 and more bids,49
1396,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,24
1397,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,2 bids,1
1398,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,3 bids,1
1399,2022-2023,Bodoland Territorial Council-PWD,Cancelled,Works,4 and more bids,9
1400,2022-2023,Bodoland Territorial Council-PWD,Retender,Works,0 bids,1
1401,2022-2023,Bodoland Territorial Council-PWD,Technical Bid Opening,Works,0 bids,2
1402,2022-2023,Bodoland Territorial Council-WRD,AOC,Works,4 and more bids,1
1403,2022-2023,Chief Minister Secretariat,AOC,Services,0 bids,1
1404,2022-2023,Cooperation Department,AOC,Goods,0 bids,23
1405,2022-2023,Cooperation Department,AOC,Goods,2 bids,1
1406,2022-2023,Cooperation Department,AOC,Goods,4 and more bids,3
1407,2022-2023,Cooperation Department,AOC,Services,4 and more bids,1
1408,2022-2023,Cooperation Department,AOC,Works,0 bids,3
1409,2022-2023,Cooperation Department,AOC,Works,2 bids,1
1410,2022-2023,Cooperation Department,AOC,Works,4 and more bids,1
1411,2022-2023,Cooperation Department,Cancelled,Goods,0 bids,6
1412,2022-2023,Cooperation Department,Cancelled,Goods,3 bids,1
1413,2022-2023,Cooperation Department,Cancelled,Goods,4 and more bids,1
1414,2022-2023,Cooperation Department,Cancelled,Services,0 bids,1
1415,2022-2023,Cooperation Department,Cancelled,Works,0 bids,2
1416,2022-2023,Cooperation Department,Retender,Goods,0 bids,4
1417,2022-2023,Cooperation Department,Technical Bid Opening,Services,0 bids,1
1418,2022-2023,Cooperation Department,Technical Evaluation,Works,0 bids,1
1419,2022-2023,Cooperation Department,Technical Evaluation,Works,4 and more bids,1
1420,2022-2023,Cotton University,AOC,Works,0 bids,1
1421,2022-2023,Cotton University,AOC,Works,4 and more bids,1
1422,2022-2023,Cotton University,Technical Evaluation,Goods,0 bids,3
1423,2022-2023,Department of Cultural Affairs,AOC,Services,0 bids,1
1424,2022-2023,Department of Cultural Affairs,Cancelled,Goods,0 bids,1
1425,2022-2023,Department of Cultural Affairs,Cancelled,Services,0 bids,2
1426,2022-2023,Department of Fisheries,Cancelled,Works,0 bids,2
1427,2022-2023,Department of Fisheries,Cancelled,Works,4 and more bids,1
1428,2022-2023,Department of Handloom Textile and Sericulture,AOC,Works,0 bids,2
1429,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Goods,0 bids,1
1430,2022-2023,Department of Handloom Textile and Sericulture,Cancelled,Works,0 bids,1
1431,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Services,0 bids,1
1432,2022-2023,Department of Handloom Textile and Sericulture,Financial Bid Opening,Works,0 bids,1
